charityID,charityNumFilings,designationID,categoryID,charityName,charityAccount,charityRegistrationDate,charityLanguage,charityAddress,charityCity,provinceID,charityPostalCode,countryID,charityContactPhone,charityEmail,charityURL
106703879RR0001,11,C,C170-1,WESTLAKE WATERSHED DISTRICT,WESTLAKE WATERSHED DISTRICT,2003-08-05,1,BOX 33,ALONSA,MB,R0H0A0,CA,,alonsacd@mts.net,
106887102RR0001,10,C,C170-99,CENTRAL LAKE ONTARIO CONSERVATION AUTHORITY,CENTRAL LAKE ONTARIO CONSERVATION AUTHORITY,2002-07-08,1,100 WHITING AVE,OSHAWA,ON,L1H3T3,CA,(905)579-0411,,
107311177RR0001,10,C,C170-1,ESSEX REGION CONSERVATION AUTHORITY,Essex Region Conservation Authority,1977-01-01,1,311 - 360 FAIRVIEW AVE W,ESSEX,ON,N8M1Y6,CA,(519)776-5209,smcmullen@erca.org,www.erca.org
107583650RR0001,10,C,C170-1,LAC LA NONNE ENHANCEMENT AND PROTECTION ASSOCIATION,LAC LA NONNE ENHANCEMENT AND PROTECTION ASSOCIATION,2004-03-24,1,"SITE 1, BOX 14, RR 1",GUNN,AB,T0E1A0,CA,(780)967-4218,,
107678328RR0001,1,C,C170-1,MATTAGAMI REGION CONSERVATION AUTHORITY,Mattagami Region Conservation Authority,2023-06-22,1,100 LAKESHORE RD,TIMMINS,ON,P4N8R5,CA,(705)360-2660,info@mattagamiregion.ca,www.mattagamiregion.ca
107896136RR0001,10,C,C170-1,RIDEAU VALLEY CONSERVATION AUTHORITY,RIDEAU VALLEY CONSERVATION AUTHORITY,2005-09-06,1,"3889 RIDEAU VALLEY DRIVE, PO BOX 599",MANOTICK,ON,K4M1A5,CA,(613)692-3571,SARAH.WAYNEERVCA.CA,WWW.RVCA.CA
108145533RR0001,6,C,C170-1,TURTLE MOUNTAIN CONSERVATION DISTRICT NO 4,TURTLE MOUNTAIN CONSERVATION DISTRICT NO.4,2000-04-01,1,PO 508,DELORAINE,MB,R0M0M0,CA,,,
108145632RR0001,11,C,C170-1,INTER-MOUNTAIN WATERSHED DISTRICT,INTER-MOUNTAIN WATERSHED DISTRICT,1999-04-01,1,PO 449,STE ROSE DU LAC,MB,R0L1S0,CA,,TRWCD@MTS.NET,TRWCD.COM
118874858RR0001,10,C,C170-1,CONSERVATION COUNCIL OF ONTARIO.,CONSERVATION COUNCIL OF ONTARIO,2000-09-01,1,"465 YONGE STREET, POST OFFICE BOX 73021",TORONTO,ON,M4Y2W5,CA,(416)533-1635,INFO@WECONSERVE.CA,WWW.WECONSERVE.CA
118892736RR0001,11,C,C170-1,ECOLOGY NORTH,ECOLOGY NORTH,2007-03-01,1,PO BOX 1684 STN MAIN,YELLOWKNIFE,NT,X1A2P3,CA,(867)873-6019,ADMIN@ECOLOGYNORTH.CA,WWW.ECOLOGYNORTH.CA
119037893RR0001,11,C,C170-1,MEMPHREMAGOG CONSERVATION INC.,MEMPHREMAGOG CONSERVATION INC.,1970-01-01,2,"51, RUE CABANA",MAGOG,QC,J1X2C4,CA,(819)620-3939,,WWW.MEMPHREMAGOG.ORG
119071553RR0001,11,C,C170-1,OTTAWA FIELD NATURALISTS' CLUB,OTTAWA FIELD NATURALISTS' CLUB,1976-01-01,1,"P.O. BOX 35069, WESTGATE P.O.",OTTAWA,ON,K1Z1A2,CA,(613)736-7051,TREASURER@OFNC.CA,OFNC.CA
119075638RR0001,10,C,C170-1,PACIFIC SALMON FOUNDATION/FONDATION DU SAUMON DU PACIFIQUE,PACIFIC SALMON FOUNDATION FONDATION DU SAUMON DU PACIFIQUE,1987-08-14,1,320 - 1385 8TH AVE W,VANCOUVER,BC,V6H3V9,CA,(604)664-7664,SALMON@PSF.CA,WWW.PSF.CA
119088359RR0001,11,C,C170-1,THE PEMBROKE AREA FIELD NATURALISTS,THE PEMBROKE AREA FIELD NATURALISTS,1984-04-11,1,375 DORAN ST,PEMBROKE,ON,K8A4N3,CA,(613)732-8402,,WWW.PAFN.ON.CA
119228419RR0001,10,C,C170-99,THE CONSERVER SOCIETY OF HAMILTON AND DISTRICT INC.,THE CONSERVER SOCIETY OF HAMILTON AND DISTRICT INC.,1984-01-01,1,22 VEEVERS  DRIVE,HAMILTON,ON,L8K5P5,CA,(905)540-8787,CONTACT@CONSERVERSOCIETY.CA,WWW.CONSERVERSOCIETY.CA
119307890RR0001,10,C,C170-1,YUKON CONSERVATION SOCIETY,YUKON CONSERVATION SOCIETY,1980-01-01,1,302 HAWKINS ST,WHITEHORSE,YT,Y1A1X6,CA,(867)668-5678,OFFICE@YUKONCONSERVATION.ORG,yukonconservation.ca
