formBox,formNumSections,versionID,formSection,formSectionNum,formSectionNumSub,formDesc,formBoxType,formBoxOption,formStar
300,1,27,Schedule 3,1,a,"Enter the number of permanent, full-time, compensated positions in the fiscal period. This number should represent the number of positions the charity had including both managerial positions and others, and should not include independent contractors. Do no enter a dollar amount.",number,integer,Y
305,1,27,Schedule 3,1,b,"$1-$39,999",number,integer,Y
310,1,27,Schedule 3,1,b,"$40,000-$79,999",number,integer,Y
315,1,27,Schedule 3,1,b,"$80,000-$119,999",number,integer,Y
320,1,27,Schedule 3,1,b,"$120,000-$159,999",number,integer,Y
325,1,27,Schedule 3,1,b,"$160,000-$199,999",number,integer,Y
330,1,27,Schedule 3,1,b,"$200,000-$249,999",number,integer,Y
335,1,27,Schedule 3,1,b,"$250,000-$299,999",number,integer,Y
340,1,27,Schedule 3,1,b,"$300,000-$349,999",number,integer,Y
345,1,27,Schedule 3,1,b,"$350,000 and over",number,integer,Y
370,1,27,Schedule 3,2,a,"Enter the number of part-time or part-year (for example, seasonal) employees the charity employed during the fiscal period. ",number,integer,Y
380,1,27,Schedule 3,2,b,Total expenditure on compensation for part-time employees in the fiscal period,number,dollar,Y
390,1,27,Schedule 3,3,,Total expenditure on all compensation in the fiscal period,number,dollar,Y
1510,1,27,A,1,,"Was the chairty in a subordinate position to a head body? If yes, give the name and BN/registration number of the organization. ",checkbox,"y, n",
1570,1,27,A,2,,"Has the charity wound-up, dissolved, or terminated operations?",checkbox,"y, n",
1600,1,27,A,3,,"Is the charity designated as a public foundation or a private foundation? If yes, you must completed Schedule 1, Foundations. To confirm the charity's designation, go to canada.ca/charities-list and refer to the charity's detail page. ",checkbox,"y, n",
1800,1,27,C,1,,"Was the charity active during the fiscal period? If no, explain why in the ""Ongoing Programs"" space below at C2. ",checkbox,"y, n",
2000,1,27,C,3,,"Did the charity make gifts or transfer fund to qualified donees or other organizations, excluding grants to non-qualified donees? Important: if yes, you must complete form T1236, qualified donees worksheet/amounts provided to other organizations",checkbox,"y, n",
2100,1,27,C,4,,"Did the charity carry on, fund, or provide any resources through employees, volunteers, agents, joint ventures, contractors, or any other individuals, intermediaries, entities, or means (excluding qualifying disbursements) for any activity/program/project outside Canada?",checkbox,"y, n",
2500,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Advertisement/print/radio/TV Commercials,
2510,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Auctions,
2530,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Collection plate/boxes,
2540,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Door-to-door solicitation,
2550,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Draws/lotteries,
2560,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Fundraising dinners/galas/concerts,
2570,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Sales,
2575,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Internet,
2580,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Mail campaigns,
2590,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Planned-giving programs,
2600,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Targeted corporate donations/sponsorships,
2610,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Targeted contacts,
2620,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Telephone/TV solicitations,
2630,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Tournament/sporting events,
2640,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Cause-related marketing,
2650,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",checkbox,Other,
2660,1,27,C,6,,"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, select all fundraising methods that used during the fiscal period",text,Specify:,
2700,1,27,C,7,,"Did the charity pay external fundraisers? If yes, you must complete the following lines and complete Schedule 4, Confidential data, Table 1.",checkbox,"y, n",
2730,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Commissions,
2740,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Bonuses,
2750,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Finder's Fee,
2760,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Set fee for services,
2770,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Honoraria,
2780,1,27,C,7,c,Select the method of payment to the fundraiser,checkbox,Other,
2790,1,27,C,7,c,Select the method of payment to the fundraiser,text,Specify:,
2800,1,27,C,7,d,Did the fundraiser issue tax receipts on behalf of the charity?,checkbox,"y, n",
3200,1,27,C,8,,Did the charity compensate any of its directors/trustees or like officials or persons not at arm's length from the charity for services provided during the fiscal period (other than reimbursement for expenses)?,checkbox,"y, n",
3400,1,27,C,9,,"Did the charity incur any expenses for compensation of employees during the fiscal period? Important: if yes, you must complete Schedule 3, Compensation",checkbox,"y, n",
3900,1,27,C,10,,"Did the charity receive any donations or gifts of any kind valued at $10,000 or more from any donor that was not resident in Canada and was not any of the following: A Canadian citizen, nor employed in Canada, nor carrying on a business in Canada, nor a person having disposed of taxable Canadian property? Important: If yes, you must complete schedule 4, Confidential data, Table 2, for each donation of $10,000 or more. ",checkbox,"y, n",
4000,1,27,C,11,,"Did the charity receive any non-cash gifts for which it issues tax receipts? Important: If yes, you must complete Schedule 5, Non-cash gifts.",checkbox,"y, n",
4020,1,27,Schedule 6,1,,Was the financial information report below prepared on an accrual or cash basis?,checkbox,"accrual, cash",
4050,1,27,D,2,a,Did the charity own land and/or buildings?,checkbox,"y, n",
4100,1,27,Schedule 6,2,a,"Cash, bank accounts, and short-term investments",number,dollar,
4101,1,27,Schedule 6,2,b,Cash and bank accounts,number,dollar,
4102,1,27,Schedule 6,2,c,Short-term investments,number,dollar,
4110,1,27,Schedule 6,2,d,Amounts receivable from non-arm's length persons,number,dollar,
4120,1,27,Schedule 6,2,e,Amounts receivable from all others,number,dollar,
4130,1,27,Schedule 6,2,f,Investments in non-arm's length persons,number,dollar,
4140,1,27,Schedule 6,2,g,Long-term investments,number,dollar,
4150,1,27,Schedule 6,2,h,Inventories,number,dollar,
4155,1,27,Schedule 6,2,i,Land and buildings in Canada,number,dollar,
4157,1,27,Schedule 6,2,j,Used for charitable programs or administration,number,dollar,
4158,1,27,Schedule 6,2,k,Used for other purposes,number,dollar,
4160,1,27,Schedule 6,2,l,Other capital assets in Canada,number,dollar,
4165,1,27,Schedule 6,2,m,Capital assets outside of Canada,number,dollar,
4166,1,27,Schedule 6,2,n,Accumulated amortization of capital assets,number,dollar,
4170,1,27,Schedule 6,2,o,Other assets,number,dollar,
4190,1,27,Schedule 6,2,p,Impact investments,number,dollar,
4200,2,27,Schedule 6,2,q,"Total Assets (add lines 4100, 4110 to 4155, and 4160 to 4170)",number,dollar,Y
4300,1,27,Schedule 6,3,a,Accounts payable and accured liabilities,number,dollar,
4310,1,27,Schedule 6,3,b,Deferred revenue,number,dollar,
4320,1,27,Schedule 6,3,c,Amounts owing to non-arm's length persons,number,dollar,
4330,1,27,Schedule 6,3,d,Other liabilities,number,dollar,
4350,2,27,Schedule 6,3,e,Total liabilities,number,dollar,Y
4400,1,27,D,2,d,"Did the charity borrow from, loan to, or invest assessts with any non-arm's length persons?",checkbox,"y, n",
4490,1,27,D,3,a,Did the charity issue tax receipts for gifts?,checkbox,"y, n",
4500,2,27,Schedule 6,4,a,Total eligible amount of all gifts for which the charity has issued or will issue tax receipts,number,dollar,
4510,2,27,Schedule 6,4,c,Total amount received from other registered charities,number,dollar,
4530,2,27,Schedule 6,4,d,Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630),number,dollar,
4540,1,27,Schedule 6,4,e,Total revenue received from federal government,number,dollar,
4550,1,27,Schedule 6,4,f,Total revenue received from provincial/territorial governments,number,dollar,
4560,1,27,Schedule 6,4,g,Total revenue received from municipal/regional governments,number,dollar,
4565,1,27,D,3,e,Did the charity receive any revenue from any level of government in Canada?,checkbox,"y, n",
4570,1,27,D,3,f,"If [4565] yes, total amount received",number,dollar,
4571,1,27,D,3,g,Total tax-receipted revenue from all sources outside of Canada (government and non-government),number,dollar,
4575,2,27,Schedule 6,4,h,Total non tax-receipted revenue from all sources outside of Canada (government and non-government),number,dollar,
4576,1,27,Schedule 6,4,i,Total interest and investment income from impact investments,number,dollar,
4577,1,27,Schedule 6,4,j,Total interest and investment income from persons not at arm's length,number,dollar,
4580,1,27,Schedule 6,4,k,Total interest and investment income received or earned,number,dollar,
4590,1,27,Schedule 6,4,l,Gross proceeds from disposition of assets,number,dollar,
4600,1,27,Schedule 6,4,m,Net proceeds from disposition of assets (show a negative amount with brackets),number,dollar,
4610,1,27,Schedule 6,4,n,Gross income received from rental of land and/or/buildings,number,dollar,
4620,1,27,Schedule 6,4,o,"Total non-tax-receipted revenues received for memberships, dues, and association fees",number,dollar,
4630,2,27,Schedule 6,4,p,Total non-tax-receipted revenue from fundraising,number,dollar,
4640,2,27,Schedule 6,4,q,Total revenue from sale of goods and services (except to any level of government in Canada),number,dollar,
4650,2,27,Schedule 6,4,r,Other revenue not already included in the amounts above,number,dollar,
4655,1,27,Schedule 6,4,s,Specify type(s) of revenue included in the amount reported at 4560,text,,
4700,2,27,Schedule 6,4,t,"Total revenue (add lines 4500, 4510 to 4560, 4575, 4580, and 4600 to 4650)",number,dollar,Y
4800,1,27,Schedule 6,5,a,Advertising and promotion,number,dollar,
4810,2,27,Schedule 6,5,b,Travel and vehicle expenses,number,dollar,
4820,1,27,Schedule 6,5,c,Interest and bank charges,number,dollar,
4830,1,27,Schedule 6,5,d,"Licences, memberships, and dues",number,dollar,
4840,1,27,Schedule 6,5,e,Office supplies and expenses,number,dollar,
4850,1,27,Schedule 6,5,f,Occupancy costs,number,dollar,
4860,2,27,Schedule 6,5,g,Professional and consulting fees,number,dollar,
4870,1,27,Schedule 6,5,h,Education and training for staff and volunteers,number,dollar,
4880,1,27,Schedule 6,5,i,"Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable)",number,dollar,
4890,1,27,Schedule 6,5,j,Fair market value of all donated goods used in charity's own activities,number,dollar,
4891,1,27,Schedule 6,5,k,Purchased supplies and assets,number,dollar,
4900,1,27,Schedule 6,5,l,Amortization of capitalized assets,number,dollar,
4910,1,27,Schedule 6,5,m,Research grants and scholarships as part of charity's own activities,number,dollar,
4920,2,27,Schedule 6,5,n,All other expenditures not already included in the amounts above (excluding qualifying disbursements),number,dollar,
4930,1,27,Schedule 6,5,o,Specify type(s) of revenue included in the amount reported at 4920,text,,
4950,2,27,Schedule 6,5,p,Total expenditures before qualifying disbursements (add lines 4800 to 4920),number,dollar,
5000,2,27,Schedule 6,5,q,"Of the amounts at line 4590, total expenditures on charitable activities",number,dollar,
