lineID,charityID,lineYear,formBox,lineValue
1,106703879RR0001,2014,4100,194909
2,106703879RR0001,2014,4110,
3,106703879RR0001,2014,4120,8879
4,106703879RR0001,2014,4130,
5,106703879RR0001,2014,4140,
6,106703879RR0001,2014,4150,
7,106703879RR0001,2014,4155,
8,106703879RR0001,2014,4160,157672
9,106703879RR0001,2014,4165,
10,106703879RR0001,2014,4166,-145095
11,106703879RR0001,2014,4170,73707
12,106703879RR0001,2014,4200,290072
13,106703879RR0001,2014,4300,10216
14,106703879RR0001,2014,4310,39840
15,106703879RR0001,2014,4320,
16,106703879RR0001,2014,4330,
17,106703879RR0001,2014,4350,50056
18,106703879RR0001,2014,4500,100
19,106703879RR0001,2014,5610,
20,106703879RR0001,2014,4510,
21,106703879RR0001,2014,4530,
22,106703879RR0001,2014,4540,
23,106703879RR0001,2014,4550,273319
24,106703879RR0001,2014,4560,101350
25,106703879RR0001,2014,4570,
26,106703879RR0001,2014,4571,
27,106703879RR0001,2014,4575,
28,106703879RR0001,2014,4580,
29,106703879RR0001,2014,4590,
30,106703879RR0001,2014,4600,
31,106703879RR0001,2014,4610,
32,106703879RR0001,2014,4620,
33,106703879RR0001,2014,4630,
34,106703879RR0001,2014,4640,10333
35,106703879RR0001,2014,4650,4610
36,106703879RR0001,2014,4700,389712
37,106703879RR0001,2014,4800,1703
38,106703879RR0001,2014,4810,14256
39,106703879RR0001,2014,4820,345
40,106703879RR0001,2014,4830,8248
41,106703879RR0001,2014,4840,17766
42,106703879RR0001,2014,4850,9015
43,106703879RR0001,2014,4860,3235
44,106703879RR0001,2014,4870,152
45,106703879RR0001,2014,4880,155890
46,106703879RR0001,2014,4890,
47,106703879RR0001,2014,4891,2771
48,106703879RR0001,2014,4900,4558
49,106703879RR0001,2014,4910,
50,106703879RR0001,2014,4920,131415
51,106703879RR0001,2014,4950,349354
52,106703879RR0001,2014,5000,193464
53,106703879RR0001,2014,5010,155890
54,106703879RR0001,2014,5020,
55,106703879RR0001,2014,5050,
56,106703879RR0001,2014,5100,349354
57,106703879RR0001,2014,5045,
58,106703879RR0001,2014,4101,
59,106703879RR0001,2014,4102,
60,106703879RR0001,2014,4157,
61,106703879RR0001,2014,4158,
62,106703879RR0001,2014,4190,
63,106703879RR0001,2014,4576,
64,106703879RR0001,2014,4577,
65,106887102RR0001,2014,4100,1962560
66,106887102RR0001,2014,4110,
67,106887102RR0001,2014,4120,455399
68,106887102RR0001,2014,4130,
69,106887102RR0001,2014,4140,
70,106887102RR0001,2014,4150,
71,106887102RR0001,2014,4155,30561078
72,106887102RR0001,2014,4160,2408671
73,106887102RR0001,2014,4165,
74,106887102RR0001,2014,4166,-3511901
75,106887102RR0001,2014,4170,28512
76,106887102RR0001,2014,4200,31904319
77,106887102RR0001,2014,4300,282904
78,106887102RR0001,2014,4310,64093
79,106887102RR0001,2014,4320,
80,106887102RR0001,2014,4330,879334
81,106887102RR0001,2014,4350,1226331
82,106887102RR0001,2014,4500,3385000
83,106887102RR0001,2014,5610,
84,106887102RR0001,2014,4510,
85,106887102RR0001,2014,4530,45233
86,106887102RR0001,2014,4540,2491
87,106887102RR0001,2014,4550,144152
